,Date,Date (Month),Hurricane,Lat (N),Lat from 20,Long (W),Long from 80,Max_Wind,Month from 9,Start
87,18641022,10,1,28.5,8.5,72.0,8.0,50,1, TS
88,18650530,5,0,13.0,7.0,80.0,0.0,50,4, TS
89,18650630,6,0,26.0,6.0,97.5,17.5,50,3, TS
90,18650820,8,0,30.3,10.3,78.3,1.7000000000000028,50,1, TS
91,18650906,9,1,16.0,4.0,55.5,24.5,90,0, HU
92,18650907,9,0,29.7,9.7,92.0,12.0,60,0, TS
93,18650928,9,1,25.5,5.5,69.5,10.5,70,0, HU
94,18651018,10,1,9.5,10.5,80.4,0.4000000000000057,50,1, TS
95,18660711,7,1,28.0,8.0,87.3,7.299999999999997,90,2, HU
96,18660813,8,1,14.7,5.300000000000001,62.6,17.4,90,1, HU
97,18660904,9,1,33.0,13.0,68.1,11.900000000000006,70,0, HU
98,18660918,9,1,15.0,5.0,29.5,50.5,70,0, HU
99,18660922,9,1,40.0,20.0,62.5,17.5,90,0, HU
100,18660924,9,1,13.2,6.800000000000001,35.0,45.0,80,0, HU
101,18661029,10,0,29.5,9.5,75.8,4.200000000000003,50,1, TS
102,18670621,6,1,29.5,9.5,80.0,0.0,50,3, TS
103,18670728,7,1,18.5,1.5,56.6,23.4,70,2, HU
104,18670802,8,1,14.0,6.0,77.0,3.0,90,1, HU
105,18670831,8,1,30.8,10.8,71.6,8.400000000000006,70,1, HU
106,18670908,9,0,17.0,3.0,58.0,22.0,50,0, TS
107,18670929,9,1,30.1,10.100000000000001,73.6,6.400000000000006,70,0, HU
108,18671002,10,1,23.5,3.5,96.5,16.5,90,1, HU
109,18671009,10,0,17.5,2.5,62.8,17.200000000000003,50,1, TS
110,18671027,10,1,19.0,1.0,50.5,29.5,50,1, TS
111,18680903,9,1,27.4,7.399999999999999,69.0,11.0,70,0, HU
112,18681001,10,0,25.2,5.199999999999999,94.6,14.599999999999994,50,1, TS
113,18681005,10,1,17.0,3.0,80.6,0.5999999999999943,90,1, HU
114,18681015,10,1,26.1,6.100000000000001,73.3,6.700000000000003,70,1, HU
115,18690812,8,1,40.5,20.5,47.5,32.5,90,1, HU
116,18690816,8,1,27.0,7.0,91.6,11.599999999999994,90,1, HU
117,18690827,8,1,32.7,12.700000000000003,46.7,33.3,70,1, HU
118,18690901,9,0,28.0,8.0,73.0,7.0,50,0, TS
119,18690904,9,1,26.2,6.199999999999999,88.4,8.400000000000006,70,0, HU
120,18690907,9,1,27.0,7.0,74.5,5.5,90,0, HU
121,18690911,9,1,11.2,8.8,38.7,41.3,70,0, HU
122,18690914,9,0,16.0,4.0,43.0,37.0,60,0, TS
123,18691001,10,0,17.0,3.0,67.5,12.5,50,1, TS
124,18691004,10,1,31.5,11.5,75.5,4.5,90,1, HU
125,18700730,7,1,30.5,10.5,88.0,8.0,70,2, HU
126,18700830,8,1,21.7,1.6999999999999993,59.5,20.5,50,1, TS
127,18700901,9,0,16.0,4.0,27.6,52.4,50,0, TS
128,18700909,9,1,24.2,4.199999999999999,64.0,16.0,70,0, HU
129,18700917,9,1,30.2,10.2,68.1,11.900000000000006,80,0, HU
130,18701005,10,1,17.5,2.5,74.0,6.0,50,1, TS
131,18701007,10,1,12.0,8.0,35.0,45.0,70,1, HU
132,18701010,10,1,34.0,14.0,50.5,29.5,70,1, HU
133,18701019,10,1,19.5,0.5,84.1,4.099999999999994,90,1, HU
134,18701023,10,1,21.0,1.0,72.0,8.0,90,1, HU
135,18701030,10,1,17.0,3.0,85.5,5.5,60,1, TS
136,18710601,6,0,24.1,4.100000000000001,81.0,1.0,50,3, TS
137,18710608,6,0,23.4,3.3999999999999986,90.4,10.400000000000006,50,3, TS
138,18710814,8,1,26.5,6.5,72.4,7.599999999999994,80,1, HU
139,18710817,8,1,11.2,8.8,30.7,49.3,50,1, TS
140,18710830,8,1,26.7,6.699999999999999,65.6,14.400000000000006,90,1, HU
141,18710905,9,1,26.0,6.0,90.1,10.099999999999994,70,0, HU
142,18710930,9,1,21.1,1.1000000000000014,92.1,12.099999999999994,50,0, TS
143,18711010,10,1,22.7,2.6999999999999993,58.0,22.0,70,1, HU
144,18720709,7,0,23.5,3.5,92.0,12.0,50,2, TS
145,18720820,8,1,14.3,5.699999999999999,29.7,50.3,50,1, TS
146,18720909,9,1,12.5,7.5,59.4,20.6,50,0, TS
147,18720930,9,1,13.0,7.0,31.7,48.3,50,0, TS
